id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15648047.0,Macleod,554.0,France,Female,32.0,3.0,98649.55,1.0,0.0,1.0,177099.71,0.0
1,15664681.0,Nnachetam,710.0,France,Male,38.0,9.0,0.0,2.0,0.0,0.0,141872.05,0.0
2,15762605.0,Zikoranachidimma,603.0,France,Female,38.0,9.0,136622.42,1.0,1.0,1.0,90212.38,0.0
3,15674750.0,Clements,710.0,France,Female,35.0,8.0,0.0,2.0,1.0,0.0,148811.81,0.0
4,15706463.0,Pinto,678.0,France,Male,34.0,8.0,0.0,2.0,0.0,0.0,148528.24,0.0
5,15631072.0,Ch'iu,645.0,Germany,Female,34.0,2.0,101300.75,2.0,1.0,0.0,120770.75,0.0
6,15692991.0,O'Brien,711.0,France,Male,32.0,2.0,0.0,2.0,1.0,1.0,152843.53,0.0
7,15798964.0,L?,693.0,France,Female,39.0,2.0,0.0,2.0,1.0,0.0,61251.25,0.0
8,15775886.0,T'ao,641.0,Germany,Male,38.0,1.0,113905.48,2.0,1.0,1.0,106785.4,0.0
9,15620505.0,Iloerika,654.0,Germany,Female,36.0,5.0,131778.08,2.0,1.0,0.0,78854.57,0.0
10,15640409.0,Ch'iu,661.0,France,Male,34.0,3.0,0.0,2.0,1.0,0.0,146511.2,0.0
11,15714046.0,Chukwufumnanya,648.0,France,Female,52.0,4.0,86891.85,1.0,1.0,0.0,160593.41,1.0
12,15772892.0,Lu,628.0,Spain,Male,34.0,1.0,0.0,2.0,1.0,0.0,85891.02,0.0
13,15752601.0,Uvarova,678.0,France,Male,21.0,0.0,0.0,2.0,1.0,0.0,143952.24,0.0
14,15584812.0,Hsueh,573.0,France,Male,51.0,10.0,0.0,2.0,1.0,1.0,62454.01,0.0
15,15767358.0,Mazzi,551.0,France,Female,29.0,7.0,0.0,2.0,1.0,0.0,183358.21,0.0
16,15628600.0,Clements,683.0,Spain,Male,31.0,2.0,0.0,1.0,0.0,0.0,82870.75,0.0
17,15588537.0,Tuan,599.0,France,Male,33.0,10.0,0.0,2.0,1.0,1.0,164864.66,0.0
18,15764105.0,Ch'ang,592.0,Germany,Male,47.0,7.0,137853.0,1.0,1.0,0.0,62232.6,0.0
19,15773868.0,Ijendu,708.0,France,Female,23.0,3.0,0.0,2.0,1.0,0.0,149613.81,0.0
20,15702801.0,Folliero,754.0,France,Male,33.0,8.0,94443.77,1.0,1.0,1.0,117028.6,0.0
21,15604044.0,Kao,591.0,Spain,Female,32.0,5.0,0.0,2.0,1.0,1.0,141679.73,0.0
22,15738487.0,Hsia,749.0,France,Male,32.0,2.0,0.0,2.0,1.0,0.0,117832.88,0.0
23,15697310.0,Genovesi,656.0,Spain,Female,37.0,6.0,0.0,2.0,1.0,1.0,124596.63,0.0
24,15698028.0,Ch'ien,622.0,France,Male,26.0,5.0,120787.18,1.0,1.0,0.0,24302.95,0.0
25,15705777.0,Ch'eng,677.0,France,Male,41.0,2.0,0.0,2.0,1.0,1.0,101834.58,0.0
26,15619608.0,Bovee,516.0,France,Female,57.0,6.0,0.0,1.0,1.0,1.0,169915.02,1.0
27,15732643.0,Kung,575.0,Spain,Female,28.0,5.0,164902.43,1.0,1.0,0.0,94767.77,0.0
28,15750055.0,Efremova,719.0,Spain,Female,31.0,6.0,0.0,2.0,1.0,0.0,163477.18,0.0
29,15641655.0,Iheatu,683.0,Germany,Female,42.0,3.0,107784.65,1.0,0.0,0.0,63584.55,0.0
30,15706593.0,Hsiung,785.0,France,Male,54.0,9.0,82916.35,1.0,1.0,1.0,85890.75,1.0
31,15652615.0,Uchechukwu,665.0,France,Male,34.0,4.0,0.0,2.0,0.0,0.0,28415.36,0.0
32,15723488.0,Hs?,560.0,Spain,Male,35.0,2.0,0.0,2.0,1.0,0.0,182547.04,0.0
33,15694765.0,Onwuamaeze,793.0,France,Male,32.0,8.0,148045.45,1.0,1.0,0.0,166526.26,0.0
34,15756425.0,Ch'eng,598.0,France,Male,37.0,3.0,163746.08,1.0,0.0,0.0,163746.09,0.0
35,15720371.0,Udegbulam,816.0,France,Male,35.0,4.0,0.0,2.0,0.0,1.0,87941.85,0.0
36,15631721.0,T'ang,613.0,France,Female,22.0,7.0,0.0,2.0,1.0,1.0,125979.36,0.0
37,15794841.0,Nwankwo,687.0,France,Male,34.0,2.0,186796.37,2.0,1.0,1.0,138360.69,0.0
38,15776850.0,Mazzanti,547.0,Germany,Male,38.0,3.0,104336.43,2.0,1.0,1.0,157097.09,0.0
39,15792222.0,Aitken,741.0,France,Female,37.0,4.0,152303.8,1.0,0.0,1.0,141533.19,0.0
40,15778861.0,Lucchese,646.0,France,Male,29.0,10.0,0.0,2.0,1.0,0.0,178067.33,0.0
41,15581548.0,Atherton,714.0,France,Male,48.0,8.0,0.0,2.0,1.0,0.0,140800.28,0.0
42,15705050.0,Ch'ien,748.0,France,Male,36.0,1.0,168964.77,1.0,1.0,1.0,27359.19,0.0
43,15791326.0,Chigozie,584.0,Germany,Female,48.0,9.0,116927.89,1.0,0.0,0.0,81884.8,1.0
44,15737542.0,Onwuamaeze,627.0,Germany,Female,50.0,3.0,137781.65,1.0,0.0,0.0,162697.93,1.0
45,15777315.0,Onyemere,571.0,Germany,Male,31.0,3.0,106415.57,2.0,1.0,1.0,114514.64,0.0
46,15684908.0,Nnamdi,695.0,Spain,Male,49.0,10.0,0.0,2.0,1.0,1.0,155700.15,1.0
47,15616088.0,Burdekin,632.0,France,Male,28.0,3.0,0.0,2.0,0.0,1.0,53412.54,0.0
48,15780088.0,Brierly,678.0,Germany,Female,33.0,3.0,83348.89,1.0,1.0,0.0,124592.84,1.0
49,15694852.0,Chuang,634.0,Spain,Male,36.0,5.0,134936.97,1.0,1.0,1.0,178122.71,0.0
50,15677906.0,Tsou,789.0,Spain,Female,40.0,6.0,116546.59,1.0,1.0,1.0,81753.92,0.0
51,15788448.0,Pisano,697.0,France,Male,53.0,7.0,0.0,1.0,1.0,1.0,83912.24,0.0
52,15679813.0,Ts'ui,727.0,Germany,Female,42.0,9.0,149542.52,1.0,1.0,1.0,49063.42,0.0
53,15589431.0,Ts'ai,588.0,France,Male,30.0,3.0,0.0,1.0,1.0,1.0,93524.22,0.0
54,15603088.0,T'ien,652.0,France,Male,35.0,5.0,0.0,2.0,1.0,0.0,47952.45,0.0
55,15613772.0,Onwuamaeze,721.0,Germany,Male,31.0,8.0,122088.67,2.0,1.0,0.0,133091.32,0.0
56,15588517.0,Nwabugwu,707.0,Germany,Female,34.0,7.0,125724.95,2.0,1.0,1.0,93825.83,0.0
57,15646563.0,Maclean,733.0,France,Male,34.0,4.0,0.0,2.0,1.0,0.0,193309.58,0.0
58,15704769.0,Brown,678.0,France,Female,31.0,7.0,133009.03,1.0,1.0,0.0,134878.34,0.0
59,15797767.0,Fanucci,651.0,France,Male,33.0,4.0,0.0,2.0,0.0,0.0,140168.36,0.0
60,15785865.0,Tretiakov,602.0,France,Female,32.0,4.0,0.0,2.0,1.0,0.0,66721.98,0.0
61,15701555.0,Zhirov,579.0,France,Male,38.0,5.0,0.0,2.0,1.0,0.0,106977.6,0.0
62,15762762.0,Gant,614.0,Germany,Female,37.0,8.0,149525.34,1.0,1.0,1.0,61538.43,1.0
63,15631054.0,Ts'ai,777.0,France,Male,37.0,7.0,0.0,1.0,0.0,0.0,120853.83,0.0
64,15792388.0,Nucci,681.0,Germany,Female,39.0,3.0,132746.2,1.0,1.0,0.0,129890.94,1.0
65,15644975.0,Hargrave,564.0,France,Male,33.0,2.0,121264.62,1.0,1.0,1.0,177738.98,0.0
66,15631709.0,Nkemakonam,645.0,France,Male,43.0,4.0,0.0,1.0,1.0,0.0,144880.81,1.0
67,15587913.0,Grosse,595.0,Spain,Male,32.0,2.0,0.0,2.0,1.0,0.0,173495.77,0.0
68,15794323.0,Chukwujamuike,627.0,Germany,Male,41.0,1.0,127440.3,2.0,1.0,1.0,177738.98,0.0
69,15619238.0,Liao,686.0,Spain,Female,46.0,4.0,0.0,1.0,1.0,1.0,104889.3,1.0
70,15791321.0,Ch'eng,685.0,Spain,Female,44.0,6.0,118994.84,2.0,1.0,0.0,153584.22,1.0
71,15793881.0,Nebechukwu,591.0,Spain,Male,24.0,9.0,0.0,1.0,0.0,1.0,78650.95,0.0
72,15746805.0,Trevisani,577.0,France,Male,30.0,9.0,0.0,2.0,1.0,1.0,181605.85,0.0
73,15645029.0,Martin,734.0,France,Female,38.0,0.0,102994.04,1.0,1.0,0.0,155876.06,1.0
74,15776589.0,Onwuatuegwu,677.0,France,Male,35.0,6.0,0.0,2.0,1.0,1.0,123825.83,0.0
75,15656086.0,Ts'ui,652.0,France,Female,44.0,5.0,0.0,1.0,1.0,1.0,186942.49,1.0
